Site ID,TURF,C,G,S,Z,MA,OL,SEAG,DCA,CA,DC,SPR,U,TWS,points
Benwood Ledge,0,5.882352941,11.76470588,11.76470588,0,29.41176471,0,0,0,0,0,41.17647059,0,17.64705882,17
Benwood Ledge,0,5.882352941,52.94117647,0,0,11.76470588,0,0,0,11.76470588,0,17.64705882,0,17.64705882,17
Benwood Ledge,0,30,0,5,0,20,0,0,0,0,0,45,0,0,20
Benwood Ledge,0,0,15,0,0,60,0,0,0,10,0,15,0,0,20
Benwood Ledge,0,11.76470588,11.76470588,0,0,11.76470588,0,0,0,0,0,64.70588235,0,17.64705882,17
Benwood Ledge,0,12.5,18.75,0,0,37.5,0,0,0,12.5,0,18.75,0,25,16
Benwood Ledge,0,0,40,0,0,6.666666667,0,0,0,13.33333333,0,40,0,33.33333333,15
BISC-P10a,26.32,0,15.79,5.26,0,0,0,0,0,0,0,52.63,0,5.26,19
BISC-P10a,0,5.56,0,38.89,0,0,0,0,5.56,0,0,50,0,11.11,18
BISC-P10a,0,0,23.53,11.76,0,5.88,0,0,0,0,0,58.82,0,17.65,17
BISC-P10a,0,5.56,55.56,5.56,0,11.11,0,0,0,0,0,22.22,0,11.11,18
BISC-P10a,21.05,0,10.53,5.26,0,10.53,0,0,0,0,0,52.63,0,5.26,19
BISC-P10a,0,5.26,36.84,26.32,0,0,0,0,5.26,0,0,26.32,0,5.26,19
BISC-P10a,0,0,60,5,0,10,0,0,0,0,0,25,0,0,20
BISC-P10a,0,15.79,36.84,0,0,21.05,0,0,0,0,0,26.32,0,5.26,19
BISC-P10a,20,5,15,0,0,10,0,0,0,0,0,50,0,0,20
BISC-P10a,5.26,0,26.32,0,0,0,0,0,0,0,0,68.42,0,5.26,19
BISC-P10a,21.05,0,47.37,0,0,10.53,0,0,0,0,0,21.05,0,5.26,19
BISC-P10a,0,0,22.22,0,0,0,0,0,0,0,0,77.78,0,11.11,18
BISC-P10a,5,0,15,5,0,10,10,0,0,0,0,55,0,0,20
BISC-P10a,0,0,31.58,0,0,26.32,0,0,0,0,0,42.11,0,5.26,19
BISC-P10a,15,0,30,0,0,20,0,0,0,0,0,35,0,0,20
BISC-P10a,0,5,25,0,0,5,0,0,10,0,0,55,0,0,20
BISC-P10a,15.79,0,5.26,10.53,0,0,0,0,0,0,0,68.42,0,5.26,19
BISC-P10a,22.22,5.56,22.22,0,0,11.11,0,0,0,0,0,38.89,0,11.11,18
BISC-P10a,12.5,6.25,0,6.25,0,6.25,0,0,0,0,0,68.75,0,25,16
